locality,home_type,subtype,price,type_of_sale,room,area,equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_land_area,facades,swimming_pool,state_of building
 Rue Coleau 4,Maison,,55000,,1,,,0,,,,,, 0.7 are,,0,
 Rue de la Cathédrale 29,Studio,,69000,,,,,0,,,,,,,,0,
 Franslaan 43,Studio,,70000,,,,,0,,,,,, 0.28 are,,0,
 Square Frans Hals 5,Appartement,,80000,,,,,0,,,,,, 12 ares,,0,
,Appartement,,89000,,1,,,0,,,,,,,,0,
 Avenue Docteur Zamenhof 2,Studio,,90000,,,,,0,,,,,,,,0,
,Maison,,97500,,,,,0,,,,,,,,0,
 dronckaertstraat 519,Maison,,99000,,,,,0,,,,,,,,0,
 A. Ruzettelaan 183,Studio,,110000,,,,,0,,,,,, 0.38 are,,0,
 Chaussée de Warneton 97,Maison,,114900,,,,,0,,,,,,,,0,
 Place Gossart 16,Immeuble,,115000,,,,,0,,,,,, 5.9 ares,,0,
 Boulevard Louis Mettewie 46,Studio,,115000,,,,,0,,,,,, 60.13 ares,,0,
 Chaussée 28,Maison,,119000,,,,,0,,,,,,,,0,
 rue vital francoisse 113,Appartement,,119500,,,,,0,,,,,,,,0,
,Appartement,,127000,,1,,,0,,,,,,,,0,
 Scheldestraat 25,Maison,,128500,,,,,0,,,,,, 1.3 are,,0,
 Groenplein 21,Appartement,,129900,,,,,0,,,,,,,,0,
 Boulevard Louis Mettewie 46,Appartement,,135000,,,,,0,,,,,,,,0,
 Rue de la Lorraine 105,Maison,,135000,,,,,0,,,,,,,,0,
 Kerkplein 2,Maison,,135000,,,,,0,,,,,, 0.53 are,,0,
 Rue Brogniez 68,Appartement,,135000,,1,,,0,,,,,,,,0,
 rue de la marlière 152,Duplex,,139000,,1,,,0,,,,,,,,0,
 rue de la marlière 152,Appartement,,139000,,1,,,0,,,,,,,,0,
 rue de la marlière 152,Duplex,,139000,,1,,,0,,,,,,,,0,
 rue de la marlière 152,Appartement,,139000,,1,,,0,,,,,,,,0,
 Varkensmarkt 1,Studio,,139900,,1,,,0,,,,,,,,0,
 Rue des Forgerons 99,Maison,,145000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,147000,,1,,,0,,,,,,,,0,
 NEERSTRAAT  38,Maison,,147000,,,,,0,,,,,, 1.01 are,,0,
 Rue Julien Mullie 69,Maison,,149000,,,,,0,,,,,, 2.45 ares,,0,
 Koningin Astridlaan 16,Studio,,149000,,,,,0,,,,,,,,0,
 rue des Combattants 120,Maison,,149000,,,,,0,,,,,,,,0,
 Kluislaan 17,Appartement,,149000,,1,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,149500,,1,,,0,,,,,,,,0,
 Frans van Dijckstraat 19,Appartement,,149900,,1,,,0,,,,,,,,0,
 Chaussée de Namur  71,Maison,,150000,,,,,0,,,,,, 5.83 ares,,0,
 Kustlaan 97,Appartement,,150000,,1,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,152000,,1,,,0,,,,,,,,0,
 Bredestraat 151,Maison,,155000,,,,,0,,,,1, 0.54 are, 1.45 are,,0,
 Lochtingstraat 16,Maison,,159000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,159500,,1,,,0,,,,,,,,0,
 Rue Docteur Roland 125,Maison,,160000,,,,,0,,,,1, 4.92 ares, 7.7 ares,,0,
 Rue Paul Pastur 94,Maison,,160000,,,,,0,,,,,, 1.9 are,,0,
 Westhinderstraat 13,Maison,,160750,,,,,0,,,,1, 0.29 are, 0.64 are,,0,
 Rue de L'yser 385,Appartement,,161000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,162000,,1,,,0,,,,,,,,0,
 Franslaan 115,Appartement,,165000,,1,,,0,,,,,, 0.44 are,,0,
 Watervalstraat 62,Maison,,165000,,,,,0,,,,,, 1.3 are,,0,
 Rue Vaudrée 30,Maison,,165000,,,,,0,,,,1, 1.37 are, 2.06 ares,,0,
,Appartement,,165090,,,,,0,,,,,,,,0,
 Rue d'Angleterre 5,Maison,,168000,,,,,0,,,,,, 1.5 are,,0,
 Rue des Gonceries 103,Maison,,169000,,,,,0,,,,,, 3 ares,,0,
 Jan Van Rijswijcklaan 279,Penthouse,,169000,,,,,0,,,,,,,,0,
,Maison,,169000,,,,,,,,,,, 0.68 are,,0,
,Immeuble,,169000,,,,,,,,,,, 0.68 are,,0,
 Boudewijnlaan 24,Appartement,,169000,,,,,0,,,,,,,,0,
 Rue Charles Martel 24,Maison,,170000,,,,,0,,,,1, 1.22 are, 2.16 ares,,0,
 Emile Jacqmainlaan 137,Studio,,174000,,1,,,0,,,,,,,,0,
 Emile Jacqmainlaan 137,Studio,,174000,,1,,,0,,,,,,,,0,
 Rue de la Houillère 64,Maison,,175000,,,,,0,,,,1, 1.5 are, 2.11 ares,,0,
 Sint-Cornelisstraat 10,Maison,,175000,,,,,0,,,,,, 0.7 are,,0,
 Hulstplein 34,Appartement,,177000,,1,,,0,,,,,, 0.8 are,,0,
 Kruidtuinlaan 3-4,Studio,,178000,,1,,,0,,,,,,,,0,
 Kruidtuinlaan 3-4,Studio,,178000,,1,,,0,,,,,,,,0,
 Rue du Bois 87,Maison,,179000,,,,,0,,,,,, 1.75 are,,0,
 Rue du Bois 87,Maison,,179000,,,,,0,,,,,, 1.75 are,,0,
 Van Aerdtstraat 28,Appartement,,179000,,1,,,0,,,,,,,,0,
,Maison,,179000,,,,,0,,,,,,,,0,
 Rue de Gilly 319,Maison,,179000,,,,,0,,,,,, 2.8 ares,,0,
 Lalouxlaan 2,Appartement,,180000,,,,,0,,,,,, 3.5 ares,,0,
 Sint-Franciscusstraat 56,Appartement,,180000,,,,,0,,,,,,,,0,
 Boulevard Général Wahis 32,Appartement,,180000,,1,,,0,,,,,, 22.47 ares,,0,
 Frans de Vriendtstraat 34,Appartement,,180000,,,,,0,,,,,,,,0,
 Koningin Elisabethlaan 1A,Appartement,,180000,,1,,,0,,,,,,,,0,
 Potvlietlaan 10,Immeuble,,180000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,181000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,181000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,181000,,,,,0,,,,,,,,0,
 Koningin Astridlaan 24,Appartement,,182000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,183500,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,183500,,,,,0,,,,,,,,0,
